trace_name,trace_channel,trace_sampling_rate_hz,trace_component_order,trace_start_time,station_code,station_network_code,station_latitude_deg,station_longitude_deg,station_elevation_m,split,trace_chunk,trace_npts,trace_name_original
"bucket0$0,:3,:6000",HH,100.0,ENZ,2016-10-11T00:10:19.000000Z,CHC2,KS,37.777699,127.814499,268.0,train,_CHC2_HH,6000,KS.CHC2.HH.KS20161011_61998_NO
"bucket9$0,:3,:6000",HH,100.0,ENZ,2016-10-11T00:01:02.000000Z,CHC2,KS,37.777699,127.814499,268.0,test,_CHC2_HH,6000,KS.CHC2.HH.KS20161011_6209_NO
"bucket9$1,:3,:6000",HH,100.0,ENZ,2016-10-11T00:01:03.000000Z,CHC2,KS,37.777699,127.814499,268.0,test,_CHC2_HH,6000,KS.CHC2.HH.KS20161011_6330_NO
"bucket3$0,:3,:6000",HH,100.0,ENZ,2016-10-11T00:11:42.000000Z,CHC2,KS,37.777699,127.814499,268.0,dev,_CHC2_HH,6000,KS.CHC2.HH.KS20161011_70224_NO
"bucket0$1,:3,:6000",HH,100.0,ENZ,2016-10-11T00:11:48.000000Z,CHC2,KS,37.777699,127.814499,268.0,train,_CHC2_HH,6000,KS.CHC2.HH.KS20161011_70806_NO
"bucket9$2,:3,:6000",HH,100.0,ENZ,2016-10-11T00:12:19.000000Z,CHC2,KS,37.777699,127.814499,268.0,test,_CHC2_HH,6000,KS.CHC2.HH.KS20161011_73972_NO
"bucket0$2,:3,:6000",HH,100.0,ENZ,2016-10-11T00:01:30.000000Z,CHC2,KS,37.777699,127.814499,268.0,train,_CHC2_HH,6000,KS.CHC2.HH.KS20161011_9032_NO
"bucket0$3,:3,:6000",HH,100.0,ENZ,2016-10-12T00:03:53.000000Z,CHC2,KS,37.777699,127.814499,268.0,train,_CHC2_HH,6000,KS.CHC2.HH.KS20161012_23319_NO
"bucket9$3,:3,:6000",HH,100.0,ENZ,2016-10-12T00:05:18.000000Z,CHC2,KS,37.777699,127.814499,268.0,test,_CHC2_HH,6000,KS.CHC2.HH.KS20161012_31873_NO
"bucket0$4,:3,:6000",HH,100.0,ENZ,2016-10-12T00:07:02.000000Z,CHC2,KS,37.777699,127.814499,268.0,train,_CHC2_HH,6000,KS.CHC2.HH.KS20161012_42292_NO
"bucket0$5,:3,:6000",HH,100.0,ENZ,2016-10-12T00:07:16.000000Z,CHC2,KS,37.777699,127.814499,268.0,train,_CHC2_HH,6000,KS.CHC2.HH.KS20161012_43695_NO
"bucket3$1,:3,:6000",HH,100.0,ENZ,2016-10-12T00:10:48.000000Z,CHC2,KS,37.777699,127.814499,268.0,dev,_CHC2_HH,6000,KS.CHC2.HH.KS20161012_64892_NO
"bucket9$4,:3,:6000",HH,100.0,ENZ,2016-10-12T00:13:23.000000Z,CHC2,KS,37.777699,127.814499,268.0,test,_CHC2_HH,6000,KS.CHC2.HH.KS20161012_80382_NO
"bucket0$6,:3,:6000",HH,100.0,ENZ,2016-10-12T00:13:23.000000Z,CHC2,KS,37.777699,127.814499,268.0,train,_CHC2_HH,6000,KS.CHC2.HH.KS20161012_80397_NO
