index,trace_name,trace_channel,trace_sampling_rate_hz,trace_component_order,trace_start_time,station_code,station_network_code,station_latitude_deg,station_longitude_deg,station_elevation_m,split,trace_chunk,trace_npts,trace_name_original
0,"bucket0$0,:3,:6000",HH,100.0,ENZ,2016-01-01T03:37:12.000000Z,SEO2,KS,37.493801,126.917198,114.0,train,_SEO2_HH,6000,KS.SEO2.HH.KS20160101_1303243_NO
1,"bucket8$0,:3,:6000",HH,100.0,ENZ,2016-01-01T05:50:31.000000Z,SEO2,KS,37.493801,126.917198,114.0,test,_SEO2_HH,6000,KS.SEO2.HH.KS20160101_2103157_NO
2,"bucket0$1,:3,:6000",HH,100.0,ENZ,2016-01-01T06:46:20.000000Z,SEO2,KS,37.493801,126.917198,114.0,train,_SEO2_HH,6000,KS.SEO2.HH.KS20160101_2438051_NO
3,"bucket0$2,:3,:6000",HH,100.0,ENZ,2016-01-01T17:52:33.000000Z,SEO2,KS,37.493801,126.917198,114.0,train,_SEO2_HH,6000,KS.SEO2.HH.KS20160101_6435329_NO
4,"bucket3$0,:3,:6000",HH,100.0,ENZ,2016-01-01T16:07:25.000000Z,SEO2,KS,37.493801,126.917198,114.0,dev,_SEO2_HH,6000,KS.SEO2.HH.KS20160101_5804578_NO
5,"bucket8$1,:3,:6000",HH,100.0,ENZ,2016-01-01T16:11:53.000000Z,SEO2,KS,37.493801,126.917198,114.0,test,_SEO2_HH,6000,KS.SEO2.HH.KS20160101_5831301_NO
6,"bucket0$3,:3,:6000",HH,100.0,ENZ,2016-01-01T22:24:37.000000Z,SEO2,KS,37.493801,126.917198,114.0,train,_SEO2_HH,6000,KS.SEO2.HH.KS20160101_8067781_NO
7,"bucket0$4,:3,:6000",HH,100.0,ENZ,2016-01-01T23:57:27.000000Z,SEO2,KS,37.493801,126.917198,114.0,train,_SEO2_HH,6000,KS.SEO2.HH.KS20160101_8624779_NO
8,"bucket0$5,:3,:6000",HH,100.0,ENZ,2016-01-02T07:45:33.000000Z,SEO2,KS,37.493801,126.917198,114.0,train,_SEO2_HH,6000,KS.SEO2.HH.KS20160102_2793343_NO
9,"bucket0$6,:3,:6000",HH,100.0,ENZ,2016-01-02T06:31:35.000000Z,SEO2,KS,37.493801,126.917198,114.0,train,_SEO2_HH,6000,KS.SEO2.HH.KS20160102_2349541_NO
10,"bucket0$7,:3,:6000",HH,100.0,ENZ,2016-01-02T01:24:12.000000Z,SEO2,KS,37.493801,126.917198,114.0,train,_SEO2_HH,6000,KS.SEO2.HH.KS20160102_505231_NO
11,"bucket0$8,:3,:6000",HH,100.0,ENZ,2016-01-02T07:45:09.000000Z,SEO2,KS,37.493801,126.917198,114.0,train,_SEO2_HH,6000,KS.SEO2.HH.KS20160102_2790973_NO
12,"bucket0$9,:3,:6000",HH,100.0,ENZ,2016-01-02T17:17:46.000000Z,SEO2,KS,37.493801,126.917198,114.0,train,_SEO2_HH,6000,KS.SEO2.HH.KS20160102_6226632_NO
13,"bucket0$10,:3,:6000",HH,100.0,ENZ,2016-01-02T02:12:02.000000Z,SEO2,KS,37.493801,126.917198,114.0,train,_SEO2_HH,6000,KS.SEO2.HH.KS20160102_792223_NO
14,"bucket0$11,:3,:6000",HH,100.0,ENZ,2016-01-02T22:32:07.000000Z,SEO2,KS,37.493801,126.917198,114.0,train,_SEO2_HH,6000,KS.SEO2.HH.KS20160102_8112746_NO
15,"bucket0$12,:3,:6000",HH,100.0,ENZ,2016-01-02T00:15:41.000000Z,SEO2,KS,37.493801,126.917198,114.0,train,_SEO2_HH,6000,KS.SEO2.HH.KS20160102_94116_NO
16,"bucket0$13,:3,:6000",HH,100.0,ENZ,2016-01-03T03:57:49.000000Z,SEO2,KS,37.493801,126.917198,114.0,train,_SEO2_HH,6000,KS.SEO2.HH.KS20160103_1426920_NO
17,"bucket0$14,:3,:6000",HH,100.0,ENZ,2016-01-03T09:21:58.000000Z,SEO2,KS,37.493801,126.917198,114.0,train,_SEO2_HH,6000,KS.SEO2.HH.KS20160103_3371891_NO
18,"bucket0$15,:3,:6000",HH,100.0,ENZ,2016-01-03T07:26:37.000000Z,SEO2,KS,37.493801,126.917198,114.0,train,_SEO2_HH,6000,KS.SEO2.HH.KS20160103_2679736_NO
19,"bucket0$16,:3,:6000",HH,100.0,ENZ,2016-01-03T12:08:41.000000Z,SEO2,KS,37.493801,126.917198,114.0,train,_SEO2_HH,6000,KS.SEO2.HH.KS20160103_4372115_NO
